Symbol,Exchange,Description,Market capitalization,Sector,"Gross profit growth %, Quarterly YoY",net_debt_fq,gross_profit_yoy_growth_fy,"Gross margin %, Trailing 12 months","Revenue growth %, Quarterly YoY","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months",Upcoming earnings date,"Return on capital employed %, Annual","Free cash flow, Annual",net_debt_to_ebitda_fq,"Piotroski F-score, Annual","Altman Z-score, Annual",sloan_ratio_ttm,"Shares buyback ratio %, Annual",Buyback yield %,research_and_dev_ratio_ttm,"Interest coverage, Annual","Cash and short-term investments, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Earnings per share diluted growth %, TTM YoY",free_cash_flow_per_employee_fy,"Price to earning to growth, Trailing 12 months","Net margin %, Trailing 12 months",Performance % 1 year,Analyst Rating,debt_to_equity_fy,Total common shares outstanding,"Free cash flow, Trailing 12 months","Number of employees, Annual",ebitda_per_employee_fy,"Revenue growth %, 5 year CAGR","Return on invested capital %, Annual","Net debt, Annual","Cash and equivalents, Annual","Long term debt, Annual","Debt to equity ratio, Quarterly","Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Sloan ratio %, Annual","Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Gross margin %, Annual",return_on_capital_employed_fq,Price,"Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",ebitda_yoy_growth_fy
SIMPLEXCAS,BSE,Simplex Castings Limited,4161117841.9999995,Producer Manufacturing,30.928764652840396,,22.596193077036062,26.348246647077,34.846329316131715,-5.3180117189059395,18.046689736542636,17.344721024212994,,1.9030735262574174,1.9030735310595563,16.4464618515681,,,10.468036643379865,,29.658213747518076,-107904000,,7,,15.90944024105981,-13.905625523649324,,,4.973637575242755,14988000,7351554.34782609,24.9739648953398,,16.131958274998524,-390956.52173913043,1.068336091069779,10.6925829798424,24.786220376252146,NoRating,0.44167191248651905,40996200,,276,1365217.391304348,18.55729978882792,19.6671264469897,486674000,8005000.000000001,148910000,,,,15.90944024105981,0,1.2915976645435243,,104.42299824339126,96.36915090918366,22.213580978882,,102.15,10.623781676413257,10.325089102494871,,0.9865661,18.1798515909948,,27.083491605257166,,346428,44.60286029077564,16.772034213462252
KROSS,NSE,Kross Limited,13388930796,Producer Manufacturing,30.683318869561948,,18.312188220595125,38.3605895416919,32.28014782390298,-11.389614691600281,8.508875567970264,23.576265325018685,,1.8642732438020844,1.864003739070018,11.7369480008633,,,14.193112553268175,,15.916216879787159,-766750000,,5,,23.890826487641895,0,,,9.894657825597397,253730000,11894010.6007067,11.9476298515472,35.733599999999996,13.230260083115446,-1354681.9787985866,1.7497857859883255,8.05182508685088,5.670000000000003,NoRating,0.10961787796188001,64509420.00000001,,566,1557791.519434629,29.65059078184069,11.4937097262714,283140000,44390000,301690000,,,,23.890826487641895,,0.3211259938074877,,201.79818091359547,193.87578531169646,19.1300963605223,,211.34,9.78701298701299,10.59131344845631,,1.432536,13.1350557307658,,24.410683065050947,,419492.13333333336,55.316148063179625,7.439134355275022
IZMO,NSE,IZMO Limited,14094746510,Technology Services,17.527586191621594,,70.79588011823131,53.2120023325727,15.697919284225279,-5.120714850108167,26.834055993029697,25.62844522526179,,4.798164208761854,4.781872410451108,14.1180563664223,,,23.96539961471038,,9.004865049997104,-145880000,,6,,12.44726362134541,-0.6084079759318393,,,14.421223958333332,102902000,7418804.6875,12.3839193083048,54.8902,6.209533369746538,-379895.8333333333,4.202705971198958,18.2986108392462,36.991084695393766,NoRating,0.0404343578953546,14962600,,384,1378023.4374999998,19.6559661397512,12.2100029317398,62463000,102902000,52644000,,,,12.44726362134541,0.009407400464964279,0.11804157902793291,,933.409547459901,834.2883540532456,53.324936877396,,921.95,0.3319185983240906,35.58088235294118,,1.5599213,20.0212151097062,,102.17547689330986,,134227.13333333333,50.097754057086696,35.38480825468137
AEROENTER,BSE,Aeroflex Enterprises Ltd,15893911521,Producer Manufacturing,74.12510398687915,,5.403452549246069,30.0601941306237,40.540500345406834,-7.953254292952612,20.589697430694955,10.737417910223465,,2.11257134766294,2.1230157539813868,11.4086399518521,,,13.184125475515415,,9.951421960380676,-554659000,,5,,6.176307598465989,0,,,13.835513679466434,1460748000,3486994,7.81683722858199,31.383,200.12177521197904,-277329.5,0.05294103088104096,20.0261155359925,59.87916759901545,NoRating,0.0490944364750876,113164000,,2000,622198,27.77576435358946,8.301905523515,-1054846000,504250000,137274000,,,,6.176307598465989,,-0.8476771060016265,,128.4950651425565,106.7937005826418,21.1471972707725,,142.9,39.03483167931505,92.45791245791247,,1.7934372,16.0235986193112,,846.9360568383659,,51180.9,60.140625194973964,18.716627536354924
AEROENTER,NSE,Aeroflex Enterprises Ltd,15893911521,Producer Manufacturing,74.12510398687915,,5.403452549246069,30.0601941306237,40.540500345406834,-7.953254292952612,20.589697430694955,10.734412334881206,,2.11257134766294,2.1148850553491174,11.4086399518521,,,13.184125475515415,,9.951421960380676,-554659000,,5,,6.176307598465989,0,,,13.835513679466434,1460748000,3486994,7.81683722858199,31.383,200.12177521197904,-277329.5,0.05273827799681569,20.0261155359925,58.733333333333356,NoRating,0.0490944364750876,113164000,,2000,622198,27.77576435358946,8.301905523515,-1054846000,504250000,137274000,,,,6.176307598465989,,-0.8476771060016265,,128.42380786195474,106.74270985687504,21.1471972707725,,142.86,39.55260330174857,85.7737321196359,,1.7934372,16.0235986193112,,846.9360568383659,,691058.5,60.19652304360119,18.716627536354924
IKIO,NSE,IKIO Technologies Ltd,15943008787,Producer Manufacturing,85.56100217864923,,33.34971372410089,21.3205161030034,40.913290659830025,-10.620652351027141,22.51877525062824,34.69867075323983,,2.473913023919807,2.471994305819737,8.83675100280086,,,18.07658853135594,,7.894728263704168,-632240000,,7,,5.061172563199483,0,,,6.065239168544954,576230000,9632572.815533979,6.50667611632715,21.191,108.1478399556203,-1023042.071197411,0.3175024940769863,7.21551102111119,-1.321648507816197,NoRating,0.115754842009812,77280700,,618,1283090.6148867314,22.821706734621316,6.22222514667261,120760000,217560000,248860000,,,,5.061172563199483,0.3987952151293565,0.1522920739012548,,195.12745483092584,181.1816439445325,19.6012719786727,,208.31,33.532051282051285,54.53264094955488,,1.6216446,13.6857295812676,,409.93425858290726,,440285.4666666667,55.540310662954894,28.450398496727793
MENONBE,NSE,Menon Bearings Limited,16523394612,Producer Manufacturing,21.391466066322216,,37.504144722130114,22.2722592876199,36.56791809686198,-2.6765697587419193,22.94040644559506,39.36189212634587,,5.189733289947869,5.17301189561608,17.4419934029804,,,25.043528611506442,,26.745889475035817,-78881000,,8,,14.262381845219336,0,,,10.474070575269135,125953000,13457045.6621005,15.727238355395851,31.1566,61.46161609919876,-360187.21461187216,0.610022742640355,13.7972688514766,145.2117936898991,NoRating,0.252787355965252,56040000,,219,2885744.2922374425,14.616691705975104,19.6839718897439,342578000,125953000,220258000,,,,14.262381845219336,0.30776090201429,0.5420726670865125,,232.20668601854646,168.02129459944214,24.2027652334012,,308.55,118.08736217133168,163.74049064022566,,0.8222489,20.7228516813857,,67.35141603510172,,79510.80000000003,74.59031272905959,42.10183119873363
DIFFNKG,NSE,Diffusion Engineers Limited,17850454252,Producer Manufacturing,36.881872765297175,,18.77984496124031,19.091572033976,36.50034091613463,-3.1115356775308616,21.321445106560926,32.578222522356604,,4.093464898457135,4.092177614705832,12.2947586637069,,,29.40088653687782,,12.824558886816812,-126380000,,5,,13.743091622569944,0.8015762408954746,,,23.526315789473685,975630000,5818997.13467049,11.559686752871885,24.693800000000003,34.254917762555394,-181060.17191977077,0.9494593699167074,12.5525142636996,33.240340354303264,NoRating,0.070668691133084,37426258,,698,821719.1977077363,21.499346662589346,13.0048041513657,-689390000,975630000,0,,,,13.743091622569944,0.2585149914074541,-1.2019492293744334,,402.18640059227175,349.21680936411076,18.8624847968565,,477.6,47.38466286066966,90.84915084915086,,0.87297875,13.9229301583225,,36.21377701375244,,512849.13333333336,69.41297165499299,21.60970231532525
SILVERTUC,BSE,Silver Touch Technologies Ltd.,22001534576,Technology Services,99.68620298911767,,46.92203348427845,39.0678028175892,23.442140254447132,1.751582997922475,18.59122734196985,51.638122471329055,,6.104388465064247,6.000596384900349,17.3473787364575,,,30.757783379653187,,30.412251355775243,59903000,,6,,8.668695860512043,0,,,7.611611597342989,131116999.99999999,3320325.2427184503,22.720136174366196,19.384500000000003,81.93037799546185,58158.25242718446,0.6332386662127679,11.5658440004706,146.62211245096614,NoRating,0.28857750044949604,126810000,,1030,601516.5048543689,19.529600421856408,21.5055057898976,358410000,39836000,180450000,,,,8.668695860512043,,0.5784893198743629,,186.90003182385692,152.5509909257766,23.2146809807789,,169.75,-3.386454183266926,24.678663239074545,,1.2488935,19.8466462609344,,147.59660697455232,,110997.03333333334,32.80455113931049,63.673204133820825
SILVERTUC,NSE,Silver Touch Technologies Ltd.,22001534576,Technology Services,99.68620298911767,,46.92203348427845,39.0678028175892,23.442140254447132,1.751582997922475,18.59122734196985,51.62899644084811,,6.104388465064247,6.115295559422631,17.3473787364575,,,30.757783379653187,,30.412251355775243,59903000,,6,,8.668695860512043,0,,,7.611611597342989,131116999.99999999,3320325.2427184503,22.720136174366196,19.384500000000003,81.93037799546185,58158.25242718446,0.6453427884751755,11.5658440004706,148.18308108503325,NoRating,0.28857750044949604,126810000,,1030,601516.5048543689,19.529600421856408,21.5055057898976,358410000,39836000,180450000,,,,8.668695860512043,,0.5784893198743629,,186.03140588687984,152.0788978945622,23.2146809807789,,169.72,-3.293447293447294,23.074691805656265,,1.2488935,19.8466462609344,,147.59660697455232,,562715,30.978477682911063,63.673204133820825
