Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day",Industry,Gap
CRWD,NASDAQ,"CrowdStrike Holdings, Inc.",210545475127.00003,206.77,Technology Services,27.930903834057393,25.57425274189485,74.8948411919438,25.799848503898065,21.711245176577236,,167.94198175924447,-4410048000,1056.6460009860575,40.5983795545915,42.670694617407996,-2.1513093321817,45.431175405600186,-1.11832716245912,46267.0000,5230125000,801845000,73.039496279336,-3.50038056746179,0.177247475494063,72.63562169947194,-0.887420988575242,40.64341709085417,,Buy,5,10.7813055228526,-2.2152562612961466,-4.410442168373719,-2.0354903475412214,-9.167502203544359,0.02212158678399789,28.38338696655552,-27.935388240659798,449804.169003552,,96.4742,1.3875712053233857,169.0450720971542,134.04799330320205,5230125000,96.06021097546521,81.07936507936509,1.231199,1.2369223,3.84219308232892,0.376012579445558,,191.138889,12804932.4,66.0065938663395,1018260000,10698,1241490000,1431313000,217.5,6.852359051211834,19.40462269190236,10.631506633983223,168.55955000000003,128.77183333333346,128.7414875000001,5.453005384954428,7.200976208586389,85.68,0.4903940066596586,12002816,187.24653685500184,Packaged Software,0.7829924547999837
FTNT,NASDAQ,"Fortinet, Inc.",120527980388,164.51,Technology Services,19.132039146478423,20.12729752549198,80.3038188339546,32.73427848696982,14.167702071929883,63.56154856657136,52.197293139947504,-2520700000,49.85596696366562,16.55951619495042,17.430385259160285,31.0204655742317,122.00657089671232,132.391790286527,46232.0000,2495300000,526000000,6.532208273307267,86.24476500698,0.501970294028493,59.09288719114162,27.4913847668612,21.252104718544174,9.86770809033114,Neutral,5,5.47687766201198,3.129074315514994,103.19900497512438,37.518087107509764,-1.3292650059677338,2.547707171492376,11.993352550150009,-1.1322373444728921,450036.402144417,135.715593307216,82.77290000000002,3.278809908454497,139.07371205231496,106.63124258357503,3582500000,105.68892223055761,114.93336817350402,3.151696,1.0894403,33.214712708348,0.496634356488961,28.983688833124233,120.676471,6288790.866666694,63.78045185660798,732648000,15109,2225800000,2435500000,170.35,4.786776648937855,12.431656642974302,6.801082481959898,138.9782000000001,100.53360000000004,96.29357500000008,4.34229583582813,5.9004116257188945,70.12,0.44491242643260603,5088963,154.61608252361302,Information Technology Services,1.5344961937301287
MNST,NASDAQ,Monster Beverage Corporation,95424251743,97.57,Consumer Non-Durables,23.41563911668553,26.89228376788432,55.470713547796,23.701720558216604,10.69885404597991,47.35028632437154,42.4269594911026,-2765201000,34.267743075499,10.512732830126795,11.014828632210161,29.3363323596885,10.933290901511857,26.6543464410197,46233.0000,2088117000.0000002,0,36.0401399617086,26.0488683546699,0,63.873026536781985,23.1082274280354,12.520215032714033,1.3196782791901807,Buy,7,23.4175576327726,-0.5173269590649995,366.5687878787879,31.91184176205678,11.252769937165535,0.0906949736772221,,-1.091327830388804,1203648.67218111,26.8147386549765,70.89320000000001,2.0963554051674764,90.87533144786798,79.71008600649952,2765201000,30.878604963112,24.182257859233808,2.299717,0.5264718,30.6782177249463,0.149417459813126,27.64731945059814,95.65,5865921.59999999,64.06882057333026,978008000,6891,1965902000,2071739999.9999998,99.1499,0.1745379876796586,4.655153920411872,1.902747493570503,90.3177000000001,81.84296666666673,78.87849999999995,1.958268312140916,1.6996814401231224,58.09,0.5202434065535138,6208040,95.319413490281,Beverages: Non-Alcoholic,0.00510178052141183
TIGO,NASDAQ,Millicom International Cellular S.A.,15866116328,94.7,Communications,37.252311757345765,45.10233918172037,54.5030331311268,20.329953600052654,0.25844245440065056,12.883827870971254,24.59521138766079,7869000000.08383,8.89626560918656,4.1070331821307,2.5578245450160457,23.6117592160564,5.062660446775775,37.7740303540104,46240.0000,1602000000.01706,8849000000.09426,256.5510550569973,11.7248752673116,3.7370098820529303,142.75826711099722,19.1631668999731,6.886199037380103,0.05205418841053667,Neutral,5,1.06200397621098,1.847711373116805,2.094017093994197,11.669445106005034,-0.25502811105320383,0.02349555869987064,,2.861454545485029,388918.593775139,21.22792659972031,51.373900000000006,8.57817663035368,87.98445141643064,70.76590303598083,1602000000.01706,21.659815005138746,69.10714285714286,3.850343,0.8725596,46.1658111678866,5.63796226564981,-42.703654777631,88.914286,1645380.4333333333,57.02336655401755,167541000,14962,1183000000,1437059040,100.08,2.201597237211317,0.5147800244122479,3.7587777591375535,87.28759999999998,73.81739999999999,67.67919999999998,3.892030301285363,3.843509874918213,38.96,0.46079646300998695,1705406,92.23011018810348,Wireless Telecommunications,-0.3871230643846734
BHEL,NSE,Bharat Heavy Electricals Limited,15112080562.486534,419.3,Producer Manufacturing,55.917130506032265,36.88272583025051,11.8867402873349,15.744943637448108,18.05973440311831,91.23746110494594,47.468092905688046,-393467113.09999996,58.81471534311545,4.077748627515796,4.307976510758779,5.99819194616807,5.58401126976794,6.29172010483448,46219.0000,167180777.79999998,17983487.4,199.7260810017609,6.25109742647023,0.313117193057606,63.46978557504874,4.7369944746017,14.624210037369135,0.45534217560806983,Neutral,8,1.77222877096255,0,1.313705098954741,2.9501848735971237,-0.6456032865646576,,2.5154085757836833,-2.368144315300356,41708.79377239881,4.37505710534185,41.8041,,385.6405507063435,319.43931558252683,1268897676.6,34.823151125401935,55.75780089153047,0.09445449828599999,1.8361762,6.93321153341792,,155.81555877683437,341.842105,14224447.533333378,60.93381234213826,3482060000,85105,558886753.8,,426.15,10.342105263157897,9.22115134149519,14.223370992611923,400.06700000000006,317.8531999999999,302.9689500000001,3.6107623091179417,3.730738923461417,205.12,0.7206014618465435,11497411,399.70982624194124,Electrical Products,1.4953941859074051
FROG,NASDAQ,JFrog Ltd.,11055808632,91.28,Technology Services,31.767032967032964,25.79100868414388,77.010525194796,26.750338447653426,24.120162058214014,,95.70130456982116,-692669000,,18.335316433858114,19.443945532205678,-15.329333877638,11.968902881164581,-7.14405864385505,46239.0000,76551000,6676000,25.920699873006907,-8.58139202822746,0.017799822077537,126.33275477312175,-10.9304059210877,28.664987154156552,,StrongBuy,6,7.76942189729507,-6.084469717844962,,-9.579177275137637,-4.866640772877424,-0.2047430518513338,36.76086793020457,,295466.666666667,,87.90299999999999,1.2600784009945474,79.08744938546565,60.74432545054589,705125000,107.17203812982297,56.22111928803697,0.953801,1.2016243,-11.1849274950746,0.032315464177147,57.8172900061312,86.714286,3194257.433333333,58.00620651108958,121120000,1800,142269000,151410000,99.22,-3.844938375645218,15.237975003156176,5.218504298856279,78.93539999999999,60.57833333333332,58.71490000000001,6.188253210225108,6.508380533343608,34.05,0.36237679623534064,1504037,88.28778174011207,Packaged Software,2.358231874520118
NYKAA,NSE,FSN E-Commerce Ventures Ltd.,9785019040.3246,326.45,Retail Trade,38.25226586102719,28.44220471829893,34.1632451470962,4.333514594880442,26.0701500159752,471.06782106782106,194.53548656218342,98138215.39999999,124.62322327669776,9.225551696526301,,4.20659825290476,,14.5615969276374,46252.0000,34220807.9,33702197.4,199.74048442906576,11.8144659676559,0.860797785782834,51.155253044404304,1.98995245626026,32.642925985103076,2.3775439228016104,Neutral,,,,3.688353825136612,22.99398775194087,-5.1639639327056095,,,1.2199492230596427,,14.5615969276374,43.6725,,293.21378854758797,261.9629200722525,34220807.9,23.81945761426134,30.059760956175296,0.017943923299999998,1.353605,7.40275484292606,,280.81805359661496,306.384615,8826459.233333332,69.30991075201287,2863824200,,46441837.599999994,,332.15,2.0156249999999964,19.710304363769712,7.938226714545145,286.876,265.95426666666674,263.46659999999997,2.7124074367134776,2.035239613574285,200.14,0.5651467849155002,3329259,311.22919196187615,Internet Retail,0.27347310847765943
RSI,NYSE,"Rush Street Interactive, Inc.",7672902004,32.93,Consumer Services,48.03554667024246,41.139908615242746,31.5683099079027,14.477516422373213,22.762565700267185,102.97060662914322,56.089443329733705,-323792000,47.81841896861044,6.049979800093691,2.882094659710127,9.33529300971843,21.353305450183186,30.8264985276747,46232.0000,340504000,12449000,313.17829457364337,26.4758952346886,0.0984251473674949,119.53333333333333,2.98289897954091,32.43121012447898,0.33458334107331933,StrongBuy,6,6.31781057485546,-11.246991416256419,96.21350762527233,26.58063661834499,-14.37787010715067,0.024645173351806042,,-2.5238280823732984,1243890.35087719,29.4874575610965,96.55890000000001,1.455712019755787,29.026691951117506,23.068693539410905,340504000,43.17391304347826,67.49745676500508,0.587098,1.5596001,12.651986265094,0.352295261087811,77.61506276150627,30.818182,3050737.466666667,62.43161362914642,104107000,912,164237000,155548000,34.51,2.108527131782945,9.766666666666667,1.244064503830914,28.91999999999999,23.05286666666668,21.880849999999988,4.334275739720006,3.939603023135768,14.38,0.6449243607962114,2578939,31.39408377692357,Casinos/Gaming,0.7460459564309162
SEZL,NASDAQ,Sezzle Inc.,6340374341.999999,188.55,Technology Services,37.218100790327576,29.193037974683545,73.9811938299793,46.47163203258424,66.07617066477826,44.8704219318912,36.810972969363824,68348000,32.21276154734411,13.225755848336263,13.248425846215271,40.7418497585807,32.19846068987187,91.9543295171233,46240.0000,72467000,140652000,42.02521377632068,52.9224982808486,0.73791441729954,34.170639721056006,30.8311811455877,50.258205594995054,1.0328201651297948,Buy,6,8.3090885498865,-0.18674966656271022,12.608872405677197,70.05539792990855,26.12231060502194,1.3344795659700817,,0.3836649920008981,2240194.02985075,103.343174998944,49.8635,6.843839459521355,139.72362878218053,98.65401087133971,72467000,162.42171189979126,173.6574746008708,5.122114,6.7162786,41.0575039612731,0.0995076147944578,46.8893778755751,163.666667,662606.1666666671,65.8697917089082,33627018,201,209252000,239069000,193.27,8.988439306358389,36.92810457516342,12.165191650014732,133.49540000000002,91.04806666666673,85.34245000000001,7.305342564500578,9.812789015955566,49.5,0.7814667176422992,954021,164.7953025657652,Packaged Software,2.812654202533047
INSW,NYSE,"International Seaways, Inc.",4388591365.999999,88.65,Transportation,232.9005507172131,77.4736359968156,50.9550591444554,4.521630447929685,-11.38183274083057,8.066350624653097,6.037951025235911,409293000,7.4291945406206485,4.690420552799719,4.445853797950852,46.4462585144472,2.0000189511101967,26.8679469295055,46246.0000,116922000,547245000,69.79683275395905,12.1981099814264,0.27805129256815997,126.09028309104822,55.3935318616905,14.869998957623732,0.11487806949689532,StrongBuy,7,4.64967087158718,-0.42610490799593936,7.005418876897751,12.073936601281563,2.642580008858439,0,,0.8708824937496675,305212.45023525204,8.458766191865337,83.75729999999999,2.4463511983952806,82.28703357296611,68.63667885601345,166922000,18.99328859060403,57.43207245604689,14.682133,-0.094835475,63.1349808805501,6.62872267740808,475.1673828320176,93.666667,591157.7,57.96617596450517,49504700,2763,38131000,121620000,92.66,4.012671594508977,8.533300685602349,4.197921410565285,83.68239999999997,70.73819999999996,65.43145,5.136025603093792,6.152564234302814,37.95,0.4771516283825745,406630,84.43652164757225,Marine Shipping,-0.7149341806627436
