Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50,EPS latest quarter,EPS preceding year quarter
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,783.45,2759.77,450.71,158.82,19.69,50.67,0.01,1.35,0.46,46.50,119.13,69.94,16.65,21.22,62.27,-98.23,3.55,37.74,0.76,0.41,33.22,18.76,0.00,11.74,0.84,100.50,67.54,4.20,84.86,71.97,302.89,-3.37,0.76,102.01,131.04,359.29,61.79,42.68,71.11,55.13,70.18,28.50,11.81,38.08,39.48,3.84,25.52,56.87,52.57,49.54,56.51,186.41,187.79,2711.18,687.55,807.85,15.45,7.38
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1680.80,12902.48,50.42,47.99,59.11,,0.05,0.91,1.83,59.03,74.72,87.28,27.51,45.26,18.61,68.21,50.74,28.28,4.76,1.92,28.44,46.92,0.00,33.10,0.76,27.28,32.18,13.91,55.22,51.27,6.40,,,747.62,466.33,2002.73,46.84,32.30,471.82,316.96,16.53,43.34,25.10,102.28,,74.05,58.30,18.60,15.56,15.54,20.01,120.84,354.43,12853.32,1375.40,1658.57,6.09,4.35
Borosil Renew.,502219,BORORENEW,INE666D01022,Industrial Products,Glass - Industrial,571.30,8088.23,156.91,22.10,20.14,2.02,0.11,20.47,0.33,33.98,463.85,58.78,36.73,26.62,31.67,228.78,162.14,27.33,2.62,6.14,30.69,10.91,0.00,15.16,0.79,54.17,22.41,5.32,17.00,25.61,36.98,-0.15,2.55,437.62,405.69,1608.25,87.71,60.57,386.50,378.44,31.55,78.26,45.82,169.01,-2.82,362.73,51.33,30.74,14.88,23.01,31.01,107.43,454.80,8202.69,543.33,570.45,6.25,-20.47
Indian Metals,533047,IMFA,INE919H01018,Ferrous Metals,Ferro & Silica Manganese,1439.95,7766.41,108.41,49.71,14.81,70.74,0.35,0.75,0.66,23.64,46.48,58.69,26.26,18.37,23.62,-1016.24,957.54,97.18,0.88,3.59,1.83,21.22,0.00,10.85,0.86,50.15,18.05,2.86,13.66,41.83,17.70,1.92,0.80,763.29,960.45,3145.22,192.34,22.28,702.83,718.65,29.29,131.46,97.56,103.22,0.00,340.53,9.49,20.80,20.69,22.34,20.84,503.67,727.74,8676.83,1305.94,1412.73,35.65,17.11
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,132.80,2165.97,119.76,37.91,38.84,97.35,0.40,1.69,1.90,35.06,137.83,75.00,18.47,26.04,30.20,62.57,83.68,3.42,0.00,0.02,25.21,21.70,0.00,20.70,0.91,86.39,44.86,10.29,-19.24,-38.24,10.26,0.02,0.00,82.25,91.78,330.99,16.57,20.42,82.06,74.90,31.03,13.73,10.84,14.63,0.00,49.94,45.42,28.75,24.82,27.07,31.45,12.90,83.60,2194.96,99.73,122.44,1.02,0.46
Lumax Auto Tech.,532796,LUMAXTECH,INE872H01027,Auto Components,Auto Components & Equipments,2020.00,13790.75,109.17,32.86,41.59,101.62,1.02,1.36,0.96,33.28,76.83,55.98,31.47,21.19,13.90,214.08,1231.10,47.55,16.53,8.70,38.14,19.29,0.00,19.27,0.96,35.99,29.72,11.38,-17.87,-14.55,5.47,-9.54,9.68,1416.93,1363.62,5207.57,86.64,43.42,1270.66,1156.36,13.95,108.06,77.55,87.80,0.00,664.13,25.35,13.53,12.80,12.56,14.34,177.56,585.32,14928.26,1506.47,1643.28,12.71,6.08
Lumax Industries,517206,LUMAXIND,INE162B01018,Auto Components,Auto Components & Equipments,5784.05,5405.42,41.14,32.60,26.89,75.90,1.06,2.16,1.31,26.52,41.64,75.00,25.99,17.71,9.66,86.01,973.13,200.45,6.70,1.36,21.73,17.10,0.00,12.90,0.83,36.45,29.72,5.90,-45.49,-45.95,4.46,0.24,5.67,1200.32,1223.23,4484.87,51.08,20.57,1052.72,1008.60,8.97,46.55,35.64,55.59,0.00,430.52,21.95,9.70,8.24,8.82,10.33,981.54,330.13,6352.32,5127.78,5454.81,54.64,38.72
NGL Fine Chem,524774,NGLFINE,INE887E01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,3470.00,2138.79,115.31,35.54,42.41,151.53,0.38,0.83,1.31,40.98,181.16,72.49,22.45,16.69,13.56,-50.56,121.68,81.64,0.02,0.05,21.12,14.66,0.00,25.63,0.96,54.16,32.53,6.70,59.20,60.41,16.98,0.05,0.01,144.75,136.71,524.63,16.45,32.42,126.33,116.84,14.47,14.74,7.90,11.35,-1.04,32.50,37.85,13.92,7.46,13.23,12.15,517.87,70.81,2257.72,2423.14,3123.96,26.63,12.37
Pricol Ltd,540293,PRICOLLTD,INE726V01018,Auto Components,Auto Components & Equipments,792.05,9663.73,34.34,23.47,36.07,85.04,0.30,1.12,1.27,43.26,56.36,38.51,21.58,24.50,11.64,-38.25,379.16,21.98,11.79,13.95,27.30,23.46,0.00,19.59,1.00,29.86,29.72,7.69,8.69,10.97,12.31,11.06,6.21,1099.21,1105.44,4250.90,67.02,28.41,1039.39,1006.86,11.25,63.69,63.99,73.23,0.00,110.33,33.22,11.62,11.62,11.82,11.92,102.96,383.40,9923.99,592.71,659.26,5.50,4.09
Shaily Engineer.,501423,SHAILY,INE151G01028,Consumer Durables,Plastic Products - Consumer,3367.70,15495.05,45.87,22.07,87.14,83.52,0.27,1.34,1.16,22.25,83.13,41.09,27.54,30.17,28.87,37.09,175.20,38.68,14.84,18.18,15.38,19.39,0.00,52.76,0.93,52.96,21.11,23.83,12.14,8.72,16.40,11.06,1.00,224.07,274.78,970.88,52.47,75.20,236.42,235.61,31.37,35.64,41.03,48.68,-2.72,187.97,61.58,27.69,19.57,19.34,28.04,141.32,249.18,15662.88,2516.75,2979.37,11.41,7.83
Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,2236.90,3598.47,118.23,84.36,71.97,50.50,0.89,1.65,1.00,40.95,83.82,72.72,25.90,17.69,15.24,-35.36,213.74,31.82,0.36,3.63,25.81,16.66,0.00,39.88,0.85,29.64,32.01,14.57,33.42,26.19,5.06,3.63,0.29,184.26,155.88,575.90,13.29,71.94,119.70,116.06,14.83,9.20,7.93,19.58,1.27,83.61,112.61,15.11,13.18,12.54,17.16,153.57,82.83,3781.77,1648.19,2071.51,8.46,3.90
