Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,843.15,7647.54,53.82,38.74,35.53,-2.33,0.36,1.50,-12.04,1.20,-19.21,42.86,10.68,10.70,21.62,-186.38,754.36,23.51,7.22,8.17,-2.20,14.92,11.08,18.58,0.89,55.84,32.61,3.60,90.30,101.69,6.42,0.74,-3.43,582.64,535.80,1969.04,76.14,-2.95,432.27,418.33,25.40,47.96,27.92,61.12,-3.12,215.31,26.16,20.29,21.96,19.80,19.42,234.35,340.07,8392.28,728.40,744.91
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,409.15,28921.76,64.83,67.81,48.57,40.70,3.93,2.51,0.32,47.52,45.44,71.40,6.78,8.89,86.83,-4070.57,19896.29,9.41,19.10,4.39,16.04,8.58,0.00,16.63,0.99,95.46,23.11,4.90,-431.59,-159.32,1.66,,,547.86,857.50,2369.90,235.33,149.47,496.79,467.75,85.63,113.70,115.06,134.46,,9013.55,42.68,88.04,88.05,86.65,87.40,83.53,2049.61,42659.96,308.11,364.93
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1166.20,13888.66,22.28,20.49,31.79,18.45,0.00,1.01,0.83,5.21,3.34,65.42,36.33,31.70,15.50,330.51,7.90,36.69,2.59,7.82,14.95,38.04,0.00,21.51,0.98,32.50,31.79,6.90,36.61,-0.25,32.23,1.31,-0.86,1029.49,785.68,3414.04,119.49,38.27,854.63,744.24,15.00,116.41,90.06,110.91,-1.34,7.45,30.43,15.36,15.20,13.42,16.75,168.87,606.22,13819.36,990.57,1050.13
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,504.25,6676.10,162.06,72.39,99.42,178.58,0.02,1.19,5.06,35.64,42.06,65.47,13.33,18.92,23.41,-5.22,8.90,5.13,1.48,3.61,17.93,22.58,0.00,55.42,0.97,44.49,23.12,14.92,117.57,116.99,83.07,,,125.84,145.38,502.98,18.79,19.63,120.89,110.87,23.04,16.49,14.23,17.64,,45.01,50.49,22.70,21.22,20.82,23.86,33.80,91.38,6615.35,333.21,437.52
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1667.80,22143.91,27.98,27.25,92.29,116.23,0.19,0.65,4.54,34.44,30.35,74.92,11.93,11.92,31.34,-480.93,457.94,17.73,10.49,7.42,21.23,9.86,0.00,54.88,0.99,49.83,28.43,9.01,159.97,226.26,17.92,5.55,-3.16,305.12,326.56,1230.56,62.75,20.35,318.78,280.10,31.47,64.48,53.96,55.06,-6.88,15.72,88.30,31.34,28.91,28.47,27.10,185.10,338.12,22596.19,1180.60,1468.02
Arisinfra Solu.,544419,ARIS,INE0H9P01028,Other Construction Materials,Other Construction Materials,144.09,1178.24,306.31,37.12,17.84,0.13,0.10,2.36,0.22,45.21,1505.59,37.57,18.03,15.57,9.86,120.17,70.27,8.13,1.09,1.94,12.68,10.66,0.00,8.93,0.81,17.33,17.84,1.59,110.33,88.72,5.38,,,343.36,290.81,1146.20,16.89,79.98,270.84,241.19,10.51,18.27,15.26,19.83,,224.10,28.95,9.43,6.30,4.29,8.87,90.40,121.13,1129.26,127.70,126.82
Astra Microwave,532493,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1670.75,15856.26,-24.09,-11.55,83.87,65.05,0.22,2.00,2.08,4.02,16.28,6.54,17.10,20.25,28.51,304.12,287.66,19.91,16.09,10.74,12.55,19.25,0.00,44.96,0.85,47.32,71.17,12.06,266.62,272.83,5.93,7.71,6.23,488.24,176.66,1139.74,12.35,40.38,260.25,214.59,18.72,46.81,23.90,105.98,0.00,186.30,57.90,28.70,25.63,21.91,33.08,138.46,307.20,15891.07,1317.15,1667.70
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2119.40,14167.22,145.39,49.83,106.04,148.14,0.30,0.51,3.65,44.38,67.08,44.39,17.37,19.54,11.42,3.55,212.92,20.01,24.72,7.81,19.28,12.72,0.00,61.81,0.90,34.66,26.24,19.61,102.49,104.27,13.45,-4.66,8.14,479.89,484.41,1764.30,34.87,29.04,417.54,382.46,11.97,32.60,24.98,41.15,-6.85,341.97,79.38,10.81,10.46,10.48,11.85,108.09,197.78,14308.79,1371.58,1814.06
Azad Engineering,544061,AZAD,INE02IJ01035,Electrical Equipment,Heavy Electrical Equipment,2796.20,18039.91,20.29,25.90,129.79,74.33,0.31,-0.89,0.86,28.72,39.10,55.84,10.61,11.92,37.66,-691.45,474.32,21.52,10.32,13.30,33.81,14.97,0.00,65.24,0.94,94.39,35.12,11.81,303.90,267.55,6.23,,,161.54,172.60,638.49,35.75,150.34,158.72,145.63,37.29,34.71,32.61,35.99,,300.60,100.13,37.37,35.27,34.53,37.96,236.74,219.63,18329.64,2007.31,2420.77
Balkrishna Inds,502355,BALKRISIND,INE787D01026,Auto Components,Tyres & Rubber Products,2350.00,45463.39,56.35,25.19,32.34,-1.57,0.38,1.81,30.80,9.78,-3.28,58.30,19.76,11.18,22.04,-749.35,4110.82,72.71,24.60,10.33,3.51,14.66,0.00,17.79,0.85,50.03,23.42,4.15,-44.74,-25.87,14.25,-2.07,3.70,2932.82,3455.27,11518.33,450.77,1.05,2736.79,2393.45,21.54,382.15,273.19,299.46,0.00,3346.53,33.27,21.26,23.54,22.05,21.82,566.70,1989.95,49509.70,2303.00,2288.38
