Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50,High price all time
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,542.10,7173.65,162.06,72.39,106.83,218.10,0.02,1.19,5.44,35.64,42.06,65.47,13.33,18.92,23.41,-5.22,8.90,5.13,1.48,3.61,17.93,22.58,0.00,59.59,0.99,44.49,21.98,16.04,117.57,116.99,83.07,,,125.84,145.38,502.98,18.79,19.63,120.89,110.87,23.04,16.49,14.23,17.64,,45.01,50.55,22.70,21.22,20.82,23.86,33.80,91.38,7112.90,340.70,450.41,547.00
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2231.70,14910.38,145.39,49.83,111.60,168.65,0.30,0.51,3.84,44.38,67.08,44.39,17.37,19.54,11.42,3.55,212.92,20.01,24.72,7.81,19.28,12.72,0.00,65.02,0.95,34.66,27.14,20.65,102.49,104.27,13.45,-4.66,8.14,479.89,484.41,1764.30,34.87,29.04,417.54,382.46,11.97,32.60,24.98,41.15,-6.85,341.97,79.49,10.81,10.46,10.48,11.85,108.09,197.78,15051.95,1404.35,1872.39,2351.00
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1808.60,7871.58,37.27,38.23,61.00,53.01,0.40,0.66,0.47,31.94,25.84,52.40,11.16,10.47,4.39,28.81,677.16,28.82,15.48,4.36,25.93,8.63,0.00,25.47,0.98,11.41,49.80,4.66,34.84,49.41,4.40,,,1909.93,1940.50,7127.90,38.16,130.48,1706.52,1570.95,5.00,33.88,36.60,28.01,,1101.37,51.99,4.04,3.37,2.98,4.50,388.09,282.57,8386.95,1221.72,1346.66,1838.00
GHCL Textiles,543918,GHCLTEXTIL,INE0PA801013,Textiles & Apparels,Other Textile Products,130.79,1250.17,191.05,52.73,13.00,64.39,0.09,0.06,0.01,27.94,66.75,19.20,4.31,5.75,12.26,-53.77,134.22,10.06,1.09,13.24,,5.33,0.00,7.13,0.99,31.16,18.15,0.83,107.75,120.12,23.35,-7.60,-9.65,363.69,408.94,1459.79,39.35,1755.38,349.12,338.04,16.90,13.18,16.01,27.66,0.05,0.00,15.39,10.66,9.54,,11.33,157.19,133.35,1379.89,95.66,114.26,132.04
Gujarat Kidney,544666,GKSL,INE0V0W01025,Healthcare Services,Hospital,160.64,1269.74,7.02,124.71,80.21,,0.12,-0.23,0.08,118.53,36.70,71.45,8.91,14.48,26.41,-14.67,29.10,2.14,0.56,4.89,,28.42,0.00,44.00,0.98,87.34,51.28,5.02,91.11,55.74,9.77,,,30.58,34.29,101.05,5.18,1057.79,23.25,12.93,24.41,3.70,2.88,5.04,,0.00,64.49,32.85,41.15,,20.60,32.03,23.06,1242.54,122.87,138.10,163.50
Lalithaa Jewel,544879,LALITHAA,INE0K9O01026,Consumer Durables,"Gems, Jewellery And Watches",265.24,14850.56,,,14.69,,0.68,-0.40,0.23,48.18,178.65,82.85,37.46,37.98,6.86,-464.74,2045.40,20.18,4.92,2.61,23.23,29.07,0.00,9.72,0.97,,17.28,,36.60,32.01,6.62,,,,,25039.04,,63.35,,,,,,,,540.11,12.29,6.86,4.56,5.15,,,1604.38,16857.90,248.56,248.90,274.40
Leap India,544865,LEAPIND,INE00GO01025,Commercial Services & Supplies,Diversified Commercial Services,168.40,7412.68,,,141.01,,2.12,4.30,1.74,56.39,123.51,55.64,7.21,8.34,49.49,-93.63,1466.78,22.15,10.01,15.24,42.26,7.92,0.00,23.92,0.98,,18.62,,-22.56,-6.04,1.78,,,,,729.53,,81.24,,,,,,,,396.04,8.55,49.49,54.72,,,,166.59,8872.57,146.48,150.35,171.25
Millworks Technologies,544826,,INE1SRC01010,Aerospace & Defense,Aerospace & Defense,900.25,1585.77,,,42.73,,0.21,-0.29,0.11,573.17,606.86,47.18,55.28,80.99,34.97,-18.55,17.01,29.02,10.28,2.55,338.04,58.70,0.00,28.27,0.96,,79.21,,110.99,76.32,15.79,,,,,148.77,,382.68,,,,,,,,2.30,26.97,34.97,35.07,,,,53.70,1601.43,694.39,761.52,933.00
Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1431.20,11090.72,49.59,31.66,83.20,83.64,0.07,0.43,1.03,121.98,89.95,73.91,26.62,31.53,18.59,-30.68,40.18,17.21,6.45,3.37,55.23,29.86,0.00,43.09,0.99,41.83,35.18,20.45,73.04,54.22,34.27,,,280.81,232.67,1003.23,36.11,80.81,283.99,205.76,17.62,62.76,35.17,33.94,,10.61,74.22,18.63,19.41,16.62,10.78,69.99,238.53,10882.95,1032.99,1218.51,1443.20
RNIT AI Solution,517286,,INE335Q01026,Auto Components,Auto Components & Equipments,90.64,768.56,54.88,25.60,61.63,,0.13,0.93,,56.68,71.29,63.24,10.09,20.15,39.96,-7.74,18.04,1.55,1.71,0.00,,41.43,0.00,33.91,0.96,100.00,29.76,5.53,194.97,227.72,17.28,,,17.62,7.85,53.10,1.27,,13.91,13.72,35.29,3.60,3.25,4.35,,,43.19,40.33,31.71,,40.18,16.40,18.32,757.92,58.81,72.12,94.39
