Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Artemis Medicare,542919,ARTEMISMED,INE025R01021,Healthcare Services,Hospital,268.30,4247.34,27.37,16.61,40.19,9.16,0.28,1.25,1.01,16.12,26.56,58.39,13.35,14.53,17.46,24.56,260.40,6.53,2.89,12.19,14.08,14.34,0.00,20.01,0.90,100.00,49.02,4.51,-18.70,-25.83,6.26,12.12,1.48,267.12,273.79,1060.49,29.55,39.71,269.78,249.80,18.37,29.96,21.42,24.85,-10.53,268.20,38.80,17.46,16.43,15.33,16.39,59.29,168.69,4301.97,252.95,260.97
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,1686.15,11265.46,69.48,40.00,99.79,92.63,0.30,0.00,3.44,45.99,88.28,44.42,17.37,19.54,10.81,0.00,212.92,16.92,26.17,6.42,19.28,12.84,0.00,56.40,0.91,33.68,30.09,15.57,102.49,103.44,11.24,-6.05,9.59,417.54,479.89,1603.21,41.15,29.04,382.46,323.31,11.85,24.98,14.21,32.60,-26.33,341.97,77.44,10.81,10.46,10.48,11.49,108.09,168.66,11407.03,1171.35,1528.51
Capillary Tech.,544614,CAPILLARY,INE0ILV01024,IT - Software,Software Products,514.40,4088.05,54.34,25.82,137.98,,0.05,2.86,4.31,22.79,109.40,52.23,3.42,3.62,12.64,110.60,53.60,6.60,18.60,3.43,31.55,-1.95,0.00,35.49,0.64,100.00,37.29,4.01,51.93,-14.07,5.79,,,184.04,191.35,734.60,20.08,31.98,179.33,,16.41,0.29,,7.99,,149.48,280.21,12.64,10.86,1.28,13.57,128.89,31.61,3782.60,559.69,516.50
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,813.10,17806.41,31.64,6.94,27.58,-4.83,0.64,1.65,0.46,61.24,357.09,67.29,14.84,17.07,42.87,729.33,2367.67,29.46,24.57,4.71,34.89,12.75,31.91,16.15,0.75,90.26,30.23,4.82,-91.19,-219.63,5.54,1.74,3.07,581.68,558.22,2769.75,163.03,60.17,735.31,894.55,47.61,154.82,203.13,124.85,-4.37,2853.02,71.99,42.87,42.84,40.57,45.57,168.85,1000.13,19865.58,824.47,791.93
DMCC Speciality,506405,DMCC,INE505A01010,Chemicals & Petrochemicals,Specialty Chemicals,262.00,653.42,18.39,41.89,23.93,-4.25,0.35,-0.66,0.37,34.85,25.66,53.84,12.26,15.34,10.88,-23.80,86.53,10.96,1.27,0.13,14.58,12.33,0.00,11.45,0.75,23.54,30.24,2.67,34.35,18.68,5.05,0.13,0.03,150.83,177.63,581.50,7.66,65.04,126.02,127.02,10.08,5.75,7.75,6.16,0.00,101.14,45.62,10.88,13.29,11.38,9.75,99.32,48.57,736.20,263.44,259.11
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1198.10,5214.52,9.03,42.63,43.70,-1.41,0.40,0.66,0.33,29.35,26.09,52.42,10.46,10.55,4.04,28.81,677.15,26.44,16.62,4.03,25.93,8.66,0.00,20.09,0.86,10.86,44.40,3.10,42.04,51.81,4.45,,,1706.52,1909.93,6591.21,28.01,130.99,1570.95,1403.82,4.50,36.60,30.23,31.28,,1101.37,54.29,4.04,3.37,2.98,3.97,388.09,241.91,5729.88,1163.56,1172.90
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019,IT - Services,IT Enabled Services,79.79,918.26,-16.55,16.08,19.68,,0.01,1.16,0.71,16.82,34.47,59.09,13.47,13.64,26.83,-18.85,6.58,3.77,4.06,1.37,11.78,12.46,0.00,8.49,0.56,100.00,23.02,1.60,59.90,29.33,19.15,,,71.03,81.16,272.52,17.09,27.73,64.61,55.72,30.27,10.61,5.87,13.01,,120.52,23.82,26.83,31.43,31.30,27.73,50.25,67.61,778.74,93.51,82.70
Honasa Consumer,544014,HONASA,INE0J5401028,Personal Products,Personal Care,472.95,15419.32,176.98,23.15,75.68,56.36,0.10,0.71,0.64,15.72,180.13,35.55,24.35,19.22,9.87,134.33,135.35,6.15,19.24,13.74,17.02,14.54,4.15,48.00,0.99,70.33,42.40,10.86,26.99,-0.07,20.94,,,601.54,657.08,2391.94,69.19,117.54,538.06,595.25,11.73,39.23,41.33,53.79,,1885.13,97.85,9.87,3.32,5.41,10.89,43.39,275.20,15340.95,335.23,400.12
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,615.05,1782.36,-32.23,7.29,8.27,-10.64,0.05,0.85,0.27,20.37,0.49,66.78,15.15,15.40,35.04,129.16,93.18,72.67,0.00,0.62,24.84,12.75,0.00,4.13,0.89,100.00,14.20,1.01,67.22,10.31,33.49,0.29,0.00,241.58,262.87,996.57,48.53,30.53,238.03,254.09,29.71,132.52,66.11,-33.39,-0.10,206.72,9.36,35.04,29.05,29.68,29.68,628.07,282.34,1789.51,568.63,571.93
Kalpataru Proj.,522287,KPIL,INE220B01022,Construction,Civil Construction,1349.45,23044.90,73.61,10.06,23.54,13.74,0.46,1.49,0.66,21.63,70.66,33.58,19.41,18.28,8.96,839.52,3542.62,60.90,45.12,10.92,18.38,16.74,24.55,9.79,0.90,64.32,17.21,2.99,37.94,42.38,2.91,2.76,2.71,6665.42,7777.90,27143.06,391.33,35.72,6528.57,6171.17,8.23,237.39,213.59,169.92,-13.65,3786.13,23.46,8.96,9.10,9.04,7.70,455.37,2016.57,24745.33,1219.23,1305.89
