Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Artemis Medicare,542919,ARTEMISMED,INE025R01021,Healthcare Services,Hospital,274.75,4349.45,27.37,16.61,41.06,1.13,0.28,1.25,1.03,16.12,26.56,58.39,13.35,14.53,17.46,24.56,260.40,6.53,2.89,12.19,14.08,14.34,0.00,20.48,0.92,100.00,49.54,4.60,-18.70,-25.83,6.26,12.12,1.48,267.12,273.79,1060.49,29.55,39.71,269.78,249.80,18.37,29.96,21.42,24.85,-10.53,268.20,38.80,17.46,16.43,15.33,16.39,59.29,168.69,4404.08,252.51,259.85
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,1736.55,11602.18,69.48,40.00,102.77,114.86,0.30,0.00,3.53,45.99,88.28,44.42,17.37,19.54,10.81,0.00,212.92,16.92,26.17,6.42,19.28,12.72,0.00,58.06,0.94,33.68,31.14,16.10,102.49,104.27,11.24,-6.05,9.59,417.54,479.89,1603.21,41.15,29.12,382.46,323.31,11.85,24.98,14.21,32.60,-26.33,341.97,77.40,10.81,10.46,10.48,11.49,108.09,168.66,11743.75,1160.91,1515.27
Capillary Tech.,544614,CAPILLARY,INE0ILV01024,IT - Software,Software Products,515.00,4092.81,54.34,25.82,138.14,,0.05,2.86,4.32,22.79,109.40,52.23,3.42,3.62,12.64,110.60,53.60,6.60,18.60,3.43,31.55,-1.95,0.00,35.54,0.64,100.00,38.30,3.99,51.93,-14.07,5.79,,,184.04,191.35,734.60,20.08,31.98,179.33,,16.41,0.29,,7.99,,149.48,280.26,12.64,10.86,1.28,13.57,128.89,31.61,3787.36,560.56,516.51
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,826.50,18099.87,31.64,6.94,28.05,-5.93,0.64,1.65,0.47,61.24,357.09,67.29,14.84,17.07,42.87,729.33,2367.67,29.46,24.57,4.71,34.89,12.75,31.91,16.39,0.76,90.26,29.98,4.85,-91.19,-219.63,5.54,1.74,3.07,581.68,558.22,2769.75,163.03,60.17,735.31,894.55,47.61,154.82,203.13,124.85,-4.37,2853.02,72.06,42.87,42.84,40.57,45.57,168.85,1000.13,20159.04,824.51,789.41
DMCC Speciality,506405,DMCC,INE505A01010,Chemicals & Petrochemicals,Specialty Chemicals,250.50,624.75,18.39,41.89,22.86,-2.16,0.35,-0.66,0.35,34.85,25.66,53.84,12.26,15.34,10.88,-23.80,86.53,10.96,1.27,0.13,14.58,12.33,0.00,11.00,0.72,23.54,29.80,2.54,34.35,18.68,5.05,0.13,0.03,150.83,177.63,581.50,7.66,65.04,126.02,127.02,10.08,5.75,7.75,6.16,0.00,101.14,45.62,10.88,13.29,11.38,9.75,99.32,48.57,707.53,263.72,259.88
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1189.25,5175.95,9.03,42.63,43.33,-1.65,0.40,0.66,0.33,29.35,26.09,52.42,10.46,10.55,4.04,28.81,677.15,26.44,16.62,4.03,25.93,8.66,0.00,19.96,0.86,10.86,44.59,3.06,42.04,51.81,4.45,,,1706.52,1909.93,6591.21,28.01,130.99,1570.95,1403.82,4.50,36.60,30.23,31.28,,1101.37,54.37,4.04,3.37,2.98,3.97,388.09,241.91,5691.31,1162.78,1170.48
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019,IT - Services,IT Enabled Services,82.77,952.56,-16.55,16.08,20.41,,0.01,1.16,0.74,16.82,34.47,59.09,13.47,13.64,26.83,-18.85,6.58,3.77,4.06,1.37,11.78,12.46,0.00,8.86,0.58,100.00,23.37,1.67,59.90,29.33,19.15,,,71.03,81.16,272.52,17.09,27.73,64.61,55.72,30.27,10.61,5.87,13.01,,120.52,23.91,26.83,31.43,31.30,27.73,50.25,67.61,813.04,93.76,82.84
Honasa Consumer,544014,HONASA,INE0J5401028,Personal Products,Personal Care,467.85,15253.06,176.98,23.15,74.87,56.00,0.10,0.71,0.64,15.72,180.13,35.55,24.35,19.22,9.87,134.33,135.35,6.15,19.24,13.74,17.02,14.54,4.15,47.48,0.98,70.33,41.88,10.81,26.99,-0.07,20.94,,,601.54,657.08,2391.94,69.19,117.54,538.06,595.25,11.73,39.23,41.33,53.79,,1885.13,97.99,9.87,3.32,5.41,10.89,43.39,275.20,15174.69,332.57,394.57
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,544.15,1576.93,-32.23,7.29,7.39,-12.91,0.05,0.85,0.24,20.37,0.49,66.78,15.15,15.40,35.04,129.16,93.18,72.67,0.00,0.62,24.84,12.75,0.00,3.66,0.78,100.00,14.88,0.88,67.22,10.31,33.49,0.29,0.00,241.58,262.87,996.57,48.53,30.53,238.03,254.09,29.71,132.52,66.11,-33.39,-0.10,206.72,9.38,35.04,29.05,29.68,29.68,628.07,282.34,1584.08,569.15,574.37
Kalpataru Proj.,522287,KPIL,INE220B01022,Construction,Civil Construction,1374.00,23464.16,73.61,10.06,23.98,16.02,0.46,1.49,0.67,21.63,70.66,33.58,19.41,18.28,8.96,839.52,3542.62,60.90,45.12,10.92,18.38,16.74,24.55,9.96,0.92,64.32,17.73,3.02,37.94,42.38,2.91,2.76,2.71,6665.42,7777.90,27143.06,391.33,35.72,6528.57,6171.17,8.23,237.39,213.59,169.92,-13.65,3786.13,23.45,8.96,9.10,9.04,7.70,455.37,2016.57,25164.59,1216.25,1300.85
Mangalam Global,544273,MGEL,INE0APB01032,Agricultural Food & other Products,Other Agricultural Products,16.61,547.40,160.54,98.23,15.03,11.37,0.87,1.01,0.37,48.35,46.81,72.38,24.16,16.83,1.80,43.74,214.70,1.37,0.00,0.18,33.46,15.78,0.00,9.53,0.90,3.53,17.58,2.21,18.80,19.91,2.43,0.10,0.00,756.16,1063.96,3384.46,12.48,40.81,705.80,858.54,2.27,17.80,6.43,8.51,-1.59,236.78,20.48,1.80,1.97,1.80,1.69,7.52,74.77,736.57,13.91,14.91
